course_name_canonical,department_count_any,department_count_curriculum_required,department_count_effective_required,departments_any,departments_curriculum_required,departments_effective_required,department_terms
3D어패럴캐드,1,0,0,소재디자인공학전공,,,소재디자인공학전공:3-2
3D프로토타이핑,1,0,0,산업공학전공,,,산업공학전공:2-2
CAD및실습,1,1,1,산업공학전공,산업공학전공,산업공학전공,산업공학전공:2-2
CAE,1,0,0,산업공학전공,,,산업공학전공:3-1
HCI,1,0,0,산업공학전공,,,산업공학전공:3-2
IT융합소재,1,1,1,소재디자인공학전공,소재디자인공학전공,소재디자인공학전공,소재디자인공학전공:3-1
NT융합소재,1,0,0,소재디자인공학전공,,,소재디자인공학전공:3-1
OR,1,1,1,산업공학전공,산업공학전공,산업공학전공,산업공학전공:2-1
Python을이용한통계프로그래밍,1,0,0,수리빅데이터전공,,,수리빅데이터전공:2-1
R을이용한기계학습,1,0,0,수리빅데이터전공,,,수리빅데이터전공:3-2
R을이용한통계프로그래밍,1,1,1,수리빅데이터전공,수리빅데이터전공,수리빅데이터전공,수리빅데이터전공:2-2
SCM및물류,1,0,0,산업공학전공,,,산업공학전공:2-1
UX디자인,1,0,0,산업공학전공,,,산업공학전공:3-1
X-선공학및설계,1,0,0,신소재공학전공,,,신소재공학전공:3-2
가상융합콘텐츠,1,0,0,산업공학전공,,,산업공학전공:4-1
감성품질공학,1,0,0,산업공학전공,,,산업공학전공:4-1
강구조,1,1,1,건축공학전공,건축공학전공,건축공학전공,건축공학전공:3-2
건물에너지시스템,1,0,0,건축공학전공,,,건축공학전공:4-1
건설재료학,1,0,0,토목공학전공,,,토목공학전공:2-1
건축공학창의설계,1,0,0,건축공학전공,,,건축공학전공:2-2
건축공학창의적컴퓨팅,1,0,0,건축공학전공,,,건축공학전공:2-1
건축과컴퓨터,1,0,0,건축공학전공,,,건축공학전공:1-2
건축구조시스템,1,0,0,건축공학전공,,,건축공학전공:2-1
건축구조역학1,1,1,1,건축공학전공,건축공학전공,건축공학전공,건축공학전공:3-1
건축구조역학2,1,0,0,건축공학전공,,,건축공학전공:3-2
건축법규,1,0,0,건축공학전공,,,건축공학전공:4-2
건축설비,1,1,1,건축공학전공,건축공학전공,건축공학전공,건축공학전공:3-1
건축시공,1,1,1,건축공학전공,건축공학전공,건축공학전공,건축공학전공:3-1
건축시공계획,1,1,1,건축공학전공,건축공학전공,건축공학전공,건축공학전공:2-2
건축융합시스템설계1(종합설계),1,1,1,건축공학전공,건축공학전공,건축공학전공,건축공학전공:3-2
건축융합시스템설계2(종합설계),1,0,0,건축공학전공,,,건축공학전공:4-1
건축융합시스템설계3(종합설계),1,0,0,건축공학전공,,,건축공학전공:4-2
건축재료,1,0,0,건축공학전공,,,건축공학전공:2-1
건축적산,1,0,0,건축공학전공,,,건축공학전공:3-2
건축토목환경공학개론,2,0,0,건축공학전공; 토목공학전공,,,건축공학전공:1-1; 토목공학전공:1-1
건축프로젝트경영,1,0,0,건축공학전공,,,건축공학전공:3-2
건축프로젝트기획및실습,1,0,0,건축공학전공,,,건축공학전공:4-1
건축환경,1,1,1,건축공학전공,건축공학전공,건축공학전공,건축공학전공:2-2
결정학개론,1,0,0,신소재공학전공,,,신소재공학전공:3-1
고급선형대수학,1,0,0,수리빅데이터전공,,,수리빅데이터전공:4-2
